noise number; onset time ms; duration ms
1; 275.000000; 2.000000
2; 278.000000; 2.000000
3; 283.000000; 2.000000
4; 333.000000; 2.000000
5; 934.000000; 1.000000
6; 1063.000000; 1.000000
7; 1239.000000; 2.000000
8; 1260.000000; 1.000000
9; 1351.000000; 3.000000
10; 1368.000000; 3.000000
11; 1391.000000; 4.000000
12; 1404.000000; 2.000000
13; 1407.000000; 2.000000
14; 1413.000000; 5.000000
15; 1422.000000; 1.000000
16; 1436.000000; 5.000000
17; 1444.000000; 3.000000
18; 1451.000000; 2.000000
19; 1459.000000; 6.000000
20; 1472.000000; 5.000000
21; 1481.000000; 3.000000
22; 1485.000000; 3.000000
23; 1529.000000; 7.000000
24; 1564.000000; 7.000000
25; 1598.000000; 3.000000
26; 1602.000000; 4.000000
27; 1611.000000; 7.000000
28; 1656.000000; 3.000000
29; 1660.000000; 5.000000
30; 1668.000000; 3.000000
31; 1691.000000; 3.000000
32; 1697.000000; 3.000000
33; 1701.000000; 5.000000
34; 1707.000000; 5.000000
35; 1737.000000; 3.000000
36; 1754.000000; 5.000000
37; 1803.000000; 3.000000
38; 1819.000000; 4.000000
39; 1824.000000; 5.000000
40; 1842.000000; 4.000000
41; 1850.000000; 3.000000
42; 1861.000000; 3.000000
43; 1867.000000; 3.000000
44; 1925.000000; 3.000000
45; 1932.000000; 3.000000
46; 1955.000000; 3.000000
47; 2026.000000; 3.000000
48; 2043.000000; 3.000000
49; 2071.000000; 4.000000
50; 2078.000000; 3.000000
51; 2144.000000; 3.000000
52; 2183.000000; 4.000000
53; 2191.000000; 7.000000
54; 2203.000000; 7.000000
55; 2215.000000; 8.000000
56; 2238.000000; 2.000000
57; 2243.000000; 3.000000
58; 2247.000000; 5.000000
59; 2255.000000; 2.000000
60; 2274.000000; 7.000000
61; 2285.000000; 3.000000
62; 2297.000000; 3.000000
63; 2391.000000; 3.000000
64; 2395.000000; 4.000000
65; 2427.000000; 7.000000
66; 2438.000000; 3.000000
67; 2442.000000; 4.000000
68; 2450.000000; 3.000000
69; 2473.000000; 3.000000
70; 2477.000000; 5.000000
71; 2485.000000; 3.000000
72; 2489.000000; 4.000000
73; 2497.000000; 7.000000
74; 2509.000000; 3.000000
75; 2513.000000; 4.000000
76; 2521.000000; 7.000000
77; 2532.000000; 3.000000
78; 2536.000000; 4.000000
79; 2544.000000; 8.000000
80; 2567.000000; 8.000000
81; 2580.000000; 1.000000
82; 2584.000000; 3.000000
83; 2591.000000; 3.000000
84; 2597.000000; 2.000000
85; 2603.000000; 7.000000
86; 2615.000000; 3.000000
87; 2619.000000; 3.000000
88; 2627.000000; 7.000000
89; 2638.000000; 3.000000
90; 2642.000000; 4.000000
91; 2650.000000; 7.000000
92; 2662.000000; 7.000000
93; 2697.000000; 3.000000
94; 2701.000000; 4.000000
95; 2709.000000; 3.000000
96; 2715.000000; 1.000000
97; 2721.000000; 7.000000
98; 2732.000000; 3.000000
99; 2736.000000; 3.000000
100; 2744.000000; 3.000000
101; 2748.000000; 5.000000
102; 2756.000000; 3.000000
103; 2760.000000; 3.000000
104; 2768.000000; 7.000000
105; 2780.000000; 7.000000
106; 2791.000000; 3.000000
107; 2795.000000; 4.000000
108; 2802.000000; 8.000000
109; 2815.000000; 3.000000
110; 2819.000000; 3.000000
111; 2827.000000; 6.000000
112; 2838.000000; 7.000000
113; 2854.000000; 4.000000
114; 2862.000000; 3.000000
115; 2866.000000; 3.000000
116; 2874.000000; 7.000000
117; 2885.000000; 3.000000
118; 2897.000000; 3.000000
119; 2901.000000; 2.000000
120; 2944.000000; 3.000000
121; 2950.000000; 3.000000
122; 2956.000000; 3.000000
123; 2968.000000; 3.000000
124; 2975.000000; 1.000000
125; 2980.000000; 3.000000
126; 2986.000000; 3.000000
127; 2992.000000; 3.000000
128; 2998.000000; 2.000000
129; 3003.000000; 4.000000
130; 3010.000000; 3.000000
131; 3021.000000; 3.000000
132; 3027.000000; 3.000000
133; 3033.000000; 3.000000
134; 3045.000000; 2.000000
135; 3050.000000; 3.000000
136; 3074.000000; 3.000000
137; 3086.000000; 3.000000
138; 3094.000000; 2.000000
139; 3097.000000; 4.000000
140; 3109.000000; 3.000000
141; 3121.000000; 3.000000
142; 3133.000000; 2.000000
143; 3145.000000; 2.000000
144; 3155.000000; 4.000000
145; 3180.000000; 2.000000
146; 3185.000000; 1.000000
147; 3192.000000; 2.000000
148; 3204.000000; 2.000000
149; 3216.000000; 2.000000
150; 3229.000000; 1.000000
151; 3278.000000; 2.000000
152; 3299.000000; 1.000000
153; 3548.000000; 2.000000
154; 3777.000000; 5.000000
155; 3791.000000; 3.000000
156; 3852.000000; 1.000000
157; 3899.000000; 1.000000
158; 3933.000000; 2.000000
159; 3990.000000; 3.000000
160; 4122.000000; 1.000000
161; 4193.000000; 2.000000
162; 4198.000000; 1.000000
163; 4286.000000; 2.000000
164; 4349.000000; 1.000000
165; 4379.000000; 1.000000
166; 4381.000000; 2.000000
167; 4427.000000; 3.000000
168; 4486.000000; 1.000000
169; 4509.000000; 3.000000
170; 4627.000000; 2.000000
171; 4634.000000; 2.000000
172; 4639.000000; 9.000000
173; 4656.000000; 8.000000
174; 4668.000000; 3.000000
175; 4672.000000; 5.000000
176; 4680.000000; 3.000000
177; 4684.000000; 3.000000
178; 4693.000000; 2.000000
179; 4696.000000; 4.000000
180; 4701.000000; 5.000000
181; 4709.000000; 9.000000
182; 4750.000000; 4.000000
183; 4755.000000; 4.000000
184; 4762.000000; 3.000000
185; 4768.000000; 3.000000
186; 4772.000000; 4.000000
187; 4779.000000; 5.000000
188; 4785.000000; 4.000000
189; 4790.000000; 4.000000
190; 4809.000000; 3.000000
191; 4815.000000; 3.000000
192; 4821.000000; 3.000000
193; 4825.000000; 5.000000
194; 4831.000000; 4.000000
195; 4838.000000; 3.000000
196; 4844.000000; 3.000000
197; 4862.000000; 3.000000
198; 4866.000000; 4.000000
199; 4874.000000; 3.000000
200; 4878.000000; 5.000000
201; 4884.000000; 4.000000
202; 4891.000000; 3.000000
203; 4897.000000; 4.000000
204; 4913.000000; 4.000000
205; 4921.000000; 3.000000
206; 4925.000000; 4.000000
207; 4934.000000; 2.000000
208; 4937.000000; 2.000000
209; 4944.000000; 3.000000
210; 4948.000000; 5.000000
211; 4956.000000; 3.000000
212; 4962.000000; 3.000000
213; 4978.000000; 5.000000
214; 4984.000000; 4.000000
215; 4991.000000; 3.000000
216; 4997.000000; 2.000000
217; 5003.000000; 3.000000
218; 5009.000000; 3.000000
219; 5015.000000; 3.000000
220; 5019.000000; 4.000000
221; 5027.000000; 3.000000
222; 5033.000000; 3.000000
223; 5037.000000; 4.000000
224; 5044.000000; 3.000000
225; 5050.000000; 3.000000
226; 5056.000000; 3.000000
227; 5062.000000; 3.000000
228; 5068.000000; 9.000000
229; 5091.000000; 3.000000
230; 5097.000000; 3.000000
231; 5103.000000; 3.000000
232; 5109.000000; 3.000000
233; 5119.000000; 5.000000
234; 5150.000000; 3.000000
235; 5156.000000; 3.000000
236; 5162.000000; 3.000000
237; 5168.000000; 3.000000
238; 5180.000000; 3.000000
239; 5184.000000; 4.000000
240; 5192.000000; 3.000000
241; 5196.000000; 10.000000
242; 5209.000000; 3.000000
243; 5215.000000; 3.000000
244; 5221.000000; 3.000000
245; 5227.000000; 3.000000
246; 5233.000000; 3.000000
247; 5237.000000; 10.000000
248; 5248.000000; 5.000000
249; 5254.000000; 5.000000
250; 5262.000000; 3.000000
251; 5266.000000; 5.000000
252; 5274.000000; 3.000000
253; 5278.000000; 4.000000
254; 5289.000000; 5.000000
255; 5298.000000; 3.000000
256; 5302.000000; 4.000000
257; 5309.000000; 3.000000
258; 5313.000000; 11.000000
259; 5325.000000; 5.000000
260; 5331.000000; 5.000000
261; 5350.000000; 3.000000
262; 5356.000000; 3.000000
263; 5380.000000; 2.000000
264; 5385.000000; 4.000000
265; 5409.000000; 3.000000
266; 5413.000000; 4.000000
267; 5420.000000; 3.000000
268; 5426.000000; 3.000000
269; 5432.000000; 3.000000
270; 5450.000000; 3.000000
271; 5456.000000; 3.000000
272; 5460.000000; 4.000000
273; 5467.000000; 3.000000
274; 5474.000000; 3.000000
275; 5489.000000; 5.000000
276; 5509.000000; 3.000000
277; 5515.000000; 3.000000
278; 5560.000000; 4.000000
279; 5580.000000; 2.000000
280; 5593.000000; 1.000000
281; 5605.000000; 1.000000
282; 5685.000000; 2.000000
283; 5947.000000; 1.000000
284; 6192.000000; 3.000000
285; 6291.000000; 1.000000
286; 6322.000000; 2.000000
287; 6392.000000; 2.000000
288; 6451.000000; 2.000000
289; 6578.000000; 1.000000
290; 6705.000000; 3.000000
291; 6709.000000; 4.000000
292; 6747.000000; 1.000000
293; 6771.000000; 1.000000
294; 6794.000000; 1.000000
295; 6875.000000; 2.000000
296; 6887.000000; 1.000000
297; 6899.000000; 1.000000
298; 6922.000000; 2.000000
299; 6946.000000; 2.000000
300; 6957.000000; 3.000000
301; 6969.000000; 2.000000
302; 6993.000000; 2.000000
303; 7037.000000; 5.000000
304; 7052.000000; 1.000000
305; 7063.000000; 3.000000
306; 7087.000000; 2.000000
307; 7110.000000; 2.000000
308; 7134.000000; 2.000000
309; 7146.000000; 1.000000
310; 7166.000000; 1.000000
311; 7168.000000; 3.000000
312; 7178.000000; 1.000000
313; 7180.000000; 3.000000
314; 7264.000000; 2.000000
315; 7272.000000; 1.000000
316; 7274.000000; 3.000000
317; 7287.000000; 2.000000
318; 7298.000000; 2.000000
319; 7310.000000; 2.000000
320; 7313.000000; 2.000000
321; 7346.000000; 2.000000
322; 7357.000000; 2.000000
323; 7370.000000; 2.000000
324; 7393.000000; 2.000000
325; 7406.000000; 1.000000
326; 7427.000000; 3.000000
327; 7440.000000; 2.000000
328; 7451.000000; 2.000000
329; 7487.000000; 2.000000
330; 7500.000000; 1.000000
