Version	1.08	gmtime	1440676111
index	timestamp	eyeroihoriz	eyeroivert	eyeroizoomx	eyeroizoomy	blendmode	blendfactor	onlinecalib	eye_valid	eye_x	eye_y	eye_w	eye_h	eye_a	field_x	field_y	displaymode	displayeyedetection	event
5801	11579544	0	0	0	0	1	128	0	1	380	350	50	54	2704	0	0	0	1	
5802	11579577	0	0	0	0	1	128	0	1	380	350	50	54	2723	0	0	0	1	
5803	11579611	0	0	0	0	1	128	0	1	380	350	50	54	2725	0	0	0	1	
5804	11579644	0	0	0	0	1	128	0	1	380	350	50	55	2738	0	0	0	1	
5805	11579677	0	0	0	0	1	128	0	1	380	350	50	55	2737	0	0	0	1	
5806	11579711	0	0	0	0	1	128	0	1	380	350	50	55	2731	0	0	0	1	
5807	11579744	0	0	0	0	1	128	0	1	380	350	50	55	2727	0	0	0	1	
5808	11579778	0	0	0	0	1	128	0	1	380	350	50	55	2727	0	0	0	1	
5809	11579811	0	0	0	0	1	128	0	1	380	350	50	54	2718	0	0	0	1	
5810	11579844	0	0	0	0	1	128	0	1	382	348	50	54	2705	0	0	0	1	
5811	11579878	0	0	0	0	1	128	0	1	382	348	50	54	2694	0	0	0	1	
5812	11579911	0	0	0	0	1	128	0	1	382	348	50	54	2686	0	0	0	1	
5813	11579944	0	0	0	0	1	128	0	1	382	348	49	54	2674	0	0	0	1	
5814	11579978	0	0	0	0	1	128	0	1	382	348	49	54	2660	0	0	0	1	
5815	11580011	0	0	0	0	1	128	0	1	382	348	49	54	2647	0	0	0	1	
5816	11580045	0	0	0	0	1	128	0	1	382	348	49	54	2641	0	0	0	1	
5817	11580078	0	0	0	0	1	128	0	1	390	344	48	53	2579	0	0	0	1	
5818	11580111	0	0	0	0	1	128	0	1	390	344	48	53	2583	0	0	0	1	
5819	11580145	0	0	0	0	1	128	0	1	390	344	48	53	2573	0	0	0	1	
5820	11580178	0	0	0	0	1	128	0	1	390	344	48	53	2575	0	0	0	1	
5821	11580211	0	0	0	0	1	128	0	1	390	344	48	53	2564	0	0	0	1	
