RowNumber	TimeStamp	X_Position_Degree_Right_Eye	Y_Position_Degree_Right_Eye	Distance_From_RightEye	Validity_Right_Eye	Pupil_Diameter_RightEye	X_Position_Degree_Left_Eye	Y_Position_Degree_Left_Eye	Distance_From_LeftEye	Validity_Left_Eye	Pupil_Diameter_LeftEye	Target X	Target Y
0	0	0	0	0	4	0	0.220826	-0.820587	0	0	1195.000000	0.000000	0.000000
1	1	0	0	0	4	0	0.250667	-0.874289	0	0	1205.000000	0.000000	0.000000
2	2	0	0	0	4	0	0.220826	-0.874289	0	0	1201.000000	0.000000	0.000000
3	3	0	0	0	4	0	0.274541	-0.883240	0	0	1201.000000	0.000000	0.000000
4	4	0	0	0	4	0	0.205906	-0.889206	0	0	1209.000000	0.000000	0.000000
5	5	0	0	0	4	0	0.217842	-0.966774	0	0	1208.000000	0.000000	0.000000
6	6	0	0	0	4	0	0.310349	-0.865339	0	0	1201.000000	0.000000	0.000000
7	7	0	0	0	4	0	0.229779	-0.919041	0	0	1209.000000	0.000000	0.000000
8	8	0	0	0	4	0	0.286477	-0.889206	0	0	1213.000000	0.000000	0.000000
9	9	0	0	0	4	0	0.277524	-0.847438	0	0	1202.000000	0.000000	0.000000
10	10	0	0	0	4	0	0.259620	-0.925008	0	0	1206.000000	0.000000	0.000000
11	11	0	0	0	4	0	0.182033	-0.942908	0	0	1204.000000	0.000000	0.000000
12	12	0	0	0	4	0	0.211874	-0.895174	0	0	1197.000000	0.000000	0.000000
13	13	0	0	0	4	0	0.193969	-0.856389	0	0	1194.000000	0.000000	0.000000
14	14	0	0	0	4	0	0.092509	-0.957825	0	0	1201.000000	0.000000	0.000000
15	15	0	0	0	4	0	0.086540	-0.927991	0	0	1193.000000	0.000000	0.000000
16	16	0	0	0	4	0	0.193969	-0.862356	0	0	1184.000000	0.000000	0.000000
17	17	0	0	0	4	0	0.071620	-0.919041	0	0	1193.000000	0.000000	0.000000
18	18	0	0	0	4	0	0.095493	-0.948874	0	0	1194.000000	0.000000	0.000000
19	19	0	0	0	4	0	0.128318	-0.871306	0	0	1174.000000	0.000000	0.000000
20	20	0	0	0	4	0	0.116382	-0.853405	0	0	1177.000000	0.000000	0.000000
21	21	0	0	0	4	0	0.032826	-0.933958	0	0	1188.000000	0.000000	0.000000
22	22	0	0	0	4	0	0.140255	-0.856389	0	0	1175.000000	0.000000	0.000000
23	23	0	0	0	4	0	0.128318	-0.859372	0	0	1173.000000	0.000000	0.000000
24	24	0	0	0	4	0	0.071620	-0.907107	0	0	1177.000000	0.000000	0.000000
25	25	0	0	0	4	0	0.083556	-0.886224	0	0	1175.000000	0.000000	0.000000
26	26	0	0	0	4	0	0.170097	-0.868323	0	0	1160.000000	0.000000	0.000000
27	27	0	0	0	4	0	0.086540	-0.877273	0	0	1169.000000	0.000000	0.000000
28	28	0	0	0	4	0	0.095493	-0.892190	0	0	1179.000000	0.000000	0.000000
29	29	0	0	0	4	0	0.149207	-0.823570	0	0	1164.000000	0.000000	0.000000
30	30	0	0	0	4	0	0.137271	-0.844454	0	0	1165.000000	0.000000	0.000000
31	31	0	0	0	4	0	0.083556	-0.808653	0	0	1175.000000	0.000000	0.000000
32	32	0	0	0	4	0	0.149207	-0.784783	0	0	1166.000000	0.000000	0.000000
33	33	0	0	0	4	0	0.137271	-0.805669	0	0	1165.000000	0.000000	0.000000
34	34	0	0	0	4	0	0.071620	-0.910091	0	0	1184.000000	0.000000	0.000000
35	35	0	0	0	4	0	0.077588	-0.880257	0	0	1183.000000	0.000000	0.000000
36	36	0	0	0	4	0	0.179049	-0.817603	0	0	1179.000000	0.000000	0.000000
37	37	0	0	0	4	0	0.116382	-0.877273	0	0	1193.000000	0.000000	0.000000
38	38	0	0	0	4	0	0.077588	-0.907107	0	0	1196.000000	0.000000	0.000000
39	39	0	0	0	4	0	0.128318	-0.817603	0	0	1194.000000	0.000000	0.000000
40	40	0	0	0	4	0	0.119366	-0.835504	0	0	1204.000000	0.000000	0.000000
41	41	0	0	0	4	0	0.104445	-0.898157	0	0	1214.000000	0.000000	0.000000
42	42	0	0	0	4	0	0.164128	-0.871306	0	0	1211.000000	0.000000	0.000000
43	43	0	0	0	4	0	0.176064	-0.865339	0	0	1221.000000	0.000000	0.000000
44	44	0	0	0	4	0	0.125335	-0.790751	0	0	1234.000000	0.000000	0.000000
45	45	0	0	0	4	0	0.202921	-0.790751	0	0	1231.000000	0.000000	0.000000
46	46	0	0	0	4	0	0.238731	-0.769865	0	0	1228.000000	0.000000	0.000000
47	47	0	0	0	4	0	0.179049	-0.808653	0	0	1242.000000	0.000000	0.000000
48	48	0	0	0	4	0	0.161144	-0.811636	0	0	1254.000000	0.000000	0.000000
49	49	0	0	0	4	0	0.217842	-0.740029	0	0	1241.000000	0.000000	0.000000
50	50	0	0	0	4	0	0.205906	-0.784783	0	0	1254.000000	0.000000	0.000000
51	51	0	0	0	4	0	0.226795	-0.734062	0	0	1262.000000	-0.268315	0.272980
52	52	0	0	0	4	0	0.274541	-0.698258	0	0	1256.000000	-0.550752	0.560327
