noise number; onset time ms; duration ms
1; 19.000000; 2.000000
2; 39.000000; 2.000000
3; 45.000000; 2.000000
4; 51.000000; 6.000000
5; 61.000000; 3.000000
6; 74.000000; 3.000000
7; 80.000000; 2.000000
8; 86.000000; 2.000000
9; 104.000000; 1.000000
10; 163.000000; 2.000000
11; 169.000000; 2.000000
12; 192.000000; 1.000000
13; 236.000000; 1.000000
14; 251.000000; 2.000000
15; 254.000000; 2.000000
16; 267.000000; 1.000000
17; 309.000000; 1.000000
18; 320.000000; 1.000000
19; 333.000000; 3.000000
20; 345.000000; 2.000000
21; 348.000000; 4.000000
22; 356.000000; 2.000000
23; 373.000000; 2.000000
24; 378.000000; 3.000000
25; 392.000000; 1.000000
26; 427.000000; 3.000000
27; 436.000000; 5.000000
28; 452.000000; 1.000000
29; 489.000000; 2.000000
30; 550.000000; 3.000000
31; 556.000000; 1.000000
32; 576.000000; 1.000000
33; 608.000000; 2.000000
34; 640.000000; 1.000000
35; 648.000000; 2.000000
36; 660.000000; 1.000000
37; 662.000000; 3.000000
38; 684.000000; 1.000000
39; 725.000000; 5.000000
40; 749.000000; 2.000000
41; 780.000000; 1.000000
42; 791.000000; 2.000000
43; 804.000000; 2.000000
44; 826.000000; 3.000000
45; 852.000000; 1.000000
46; 858.000000; 3.000000
47; 862.000000; 2.000000
48; 884.000000; 1.000000
49; 891.000000; 2.000000
50; 933.000000; 6.000000
51; 955.000000; 2.000000
52; 1004.000000; 2.000000
53; 1016.000000; 7.000000
54; 1055.000000; 2.000000
55; 1063.000000; 2.000000
56; 1074.000000; 3.000000
57; 1102.000000; 1.000000
58; 1138.000000; 1.000000
59; 1146.000000; 1.000000
60; 1203.000000; 1.000000
61; 1236.000000; 5.000000
62; 1247.000000; 6.000000
63; 1258.000000; 3.000000
64; 1262.000000; 3.000000
65; 1286.000000; 2.000000
66; 1298.000000; 2.000000
67; 1322.000000; 3.000000
68; 1330.000000; 6.000000
69; 1337.000000; 3.000000
70; 1345.000000; 1.000000
71; 1351.000000; 3.000000
72; 1357.000000; 2.000000
73; 1368.000000; 3.000000
74; 1396.000000; 4.000000
75; 1403.000000; 7.000000
76; 1413.000000; 5.000000
77; 1421.000000; 4.000000
78; 1433.000000; 8.000000
79; 1444.000000; 3.000000
80; 1450.000000; 7.000000
81; 1458.000000; 7.000000
82; 1472.000000; 7.000000
83; 1480.000000; 8.000000
84; 1525.000000; 11.000000
85; 1595.000000; 11.000000
86; 1689.000000; 5.000000
87; 1695.000000; 5.000000
88; 1701.000000; 5.000000
89; 1707.000000; 5.000000
90; 2042.000000; 4.000000
91; 2183.000000; 4.000000
92; 2191.000000; 8.000000
93; 2202.000000; 9.000000
94; 2273.000000; 8.000000
95; 2391.000000; 3.000000
96; 2395.000000; 4.000000
97; 2427.000000; 7.000000
98; 2437.000000; 9.000000
99; 2497.000000; 8.000000
100; 2509.000000; 8.000000
101; 2521.000000; 7.000000
102; 2531.000000; 9.000000
103; 2544.000000; 8.000000
104; 2591.000000; 3.000000
105; 2595.000000; 6.000000
106; 2602.000000; 8.000000
107; 2615.000000; 8.000000
108; 2627.000000; 7.000000
109; 2638.000000; 8.000000
110; 2650.000000; 7.000000
111; 2661.000000; 9.000000
112; 2708.000000; 10.000000
113; 2721.000000; 8.000000
114; 2730.000000; 9.000000
115; 2744.000000; 3.000000
116; 2768.000000; 8.000000
117; 2815.000000; 3.000000
118; 2819.000000; 5.000000
119; 2862.000000; 3.000000
120; 2866.000000; 4.000000
121; 2873.000000; 15.000000
122; 2889.000000; 3.000000
123; 2893.000000; 2.000000
124; 2896.000000; 9.000000
125; 2944.000000; 4.000000
126; 2949.000000; 4.000000
127; 2956.000000; 4.000000
128; 2961.000000; 2.000000
129; 2979.000000; 4.000000
130; 2986.000000; 3.000000
131; 2992.000000; 3.000000
132; 2996.000000; 4.000000
133; 3020.000000; 4.000000
134; 3027.000000; 3.000000
135; 3033.000000; 3.000000
136; 3043.000000; 5.000000
137; 3049.000000; 4.000000
138; 3074.000000; 3.000000
139; 3086.000000; 3.000000
140; 3090.000000; 2.000000
141; 3093.000000; 13.000000
142; 3109.000000; 5.000000
143; 3118.000000; 6.000000
144; 3133.000000; 4.000000
145; 3145.000000; 3.000000
146; 3149.000000; 13.000000
147; 3168.000000; 3.000000
148; 3179.000000; 7.000000
149; 3189.000000; 5.000000
150; 3203.000000; 8.000000
151; 3216.000000; 5.000000
152; 3228.000000; 3.000000
153; 3273.000000; 8.000000
154; 3298.000000; 4.000000
155; 3305.000000; 1.000000
156; 3309.000000; 3.000000
157; 3316.000000; 2.000000
158; 3324.000000; 2.000000
159; 3334.000000; 2.000000
160; 3358.000000; 2.000000
161; 3370.000000; 1.000000
162; 3374.000000; 1.000000
163; 3383.000000; 1.000000
164; 3398.000000; 1.000000
165; 3409.000000; 3.000000
166; 3434.000000; 1.000000
167; 3441.000000; 1.000000
168; 3451.000000; 3.000000
169; 3455.000000; 2.000000
170; 3467.000000; 2.000000
171; 3476.000000; 2.000000
172; 3493.000000; 3.000000
173; 3505.000000; 2.000000
174; 3547.000000; 3.000000
175; 3658.000000; 2.000000
176; 3661.000000; 5.000000
177; 3679.000000; 4.000000
178; 3686.000000; 2.000000
179; 3706.000000; 3.000000
180; 3714.000000; 3.000000
181; 3722.000000; 2.000000
182; 3761.000000; 1.000000
183; 3791.000000; 3.000000
184; 3818.000000; 3.000000
185; 3832.000000; 1.000000
186; 3841.000000; 1.000000
187; 3843.000000; 2.000000
188; 3849.000000; 4.000000
189; 3862.000000; 1.000000
190; 3872.000000; 3.000000
191; 3893.000000; 3.000000
192; 3897.000000; 5.000000
193; 3907.000000; 1.000000
194; 3909.000000; 4.000000
195; 3927.000000; 1.000000
196; 3933.000000; 5.000000
197; 3954.000000; 1.000000
198; 3956.000000; 3.000000
199; 3968.000000; 2.000000
200; 3975.000000; 1.000000
201; 3979.000000; 1.000000
202; 3981.000000; 2.000000
203; 3988.000000; 9.000000
204; 4004.000000; 2.000000
205; 4049.000000; 2.000000
206; 4056.000000; 1.000000
207; 4063.000000; 3.000000
208; 4109.000000; 3.000000
209; 4119.000000; 1.000000
210; 4121.000000; 3.000000
211; 4130.000000; 4.000000
212; 4146.000000; 1.000000
213; 4148.000000; 3.000000
214; 4167.000000; 1.000000
215; 4193.000000; 2.000000
216; 4196.000000; 4.000000
217; 4203.000000; 3.000000
218; 4220.000000; 1.000000
219; 4227.000000; 6.000000
220; 4239.000000; 3.000000
221; 4248.000000; 5.000000
222; 4275.000000; 2.000000
223; 4283.000000; 5.000000
224; 4292.000000; 1.000000
225; 4304.000000; 1.000000
226; 4306.000000; 6.000000
227; 4317.000000; 1.000000
228; 4319.000000; 4.000000
229; 4331.000000; 4.000000
230; 4349.000000; 2.000000
231; 4373.000000; 2.000000
232; 4378.000000; 8.000000
233; 4389.000000; 4.000000
234; 4401.000000; 3.000000
235; 4416.000000; 2.000000
236; 4426.000000; 4.000000
237; 4431.000000; 4.000000
238; 4439.000000; 3.000000
239; 4452.000000; 1.000000
240; 4463.000000; 2.000000
241; 4476.000000; 2.000000
242; 4485.000000; 4.000000
243; 4499.000000; 1.000000
244; 4503.000000; 3.000000
245; 4509.000000; 3.000000
246; 4522.000000; 3.000000
247; 4534.000000; 2.000000
248; 4540.000000; 2.000000
249; 4556.000000; 1.000000
250; 4564.000000; 6.000000
251; 4627.000000; 3.000000
252; 4631.000000; 6.000000
253; 4668.000000; 20.000000
254; 4692.000000; 8.000000
255; 4701.000000; 5.000000
256; 4762.000000; 9.000000
257; 4772.000000; 5.000000
258; 4807.000000; 11.000000
259; 4821.000000; 3.000000
260; 4825.000000; 5.000000
261; 4884.000000; 4.000000
262; 4944.000000; 3.000000
263; 4948.000000; 5.000000
264; 4956.000000; 3.000000
265; 4962.000000; 3.000000
266; 4984.000000; 4.000000
267; 4991.000000; 3.000000
268; 4995.000000; 5.000000
269; 5001.000000; 5.000000
270; 5009.000000; 3.000000
271; 5015.000000; 3.000000
272; 5019.000000; 4.000000
273; 5026.000000; 4.000000
274; 5031.000000; 11.000000
275; 5043.000000; 4.000000
276; 5068.000000; 9.000000
277; 5097.000000; 3.000000
278; 5103.000000; 3.000000
279; 5148.000000; 11.000000
280; 5162.000000; 3.000000
281; 5168.000000; 3.000000
282; 5215.000000; 9.000000
283; 5225.000000; 5.000000
284; 5233.000000; 3.000000
285; 5262.000000; 3.000000
286; 5266.000000; 5.000000
287; 5313.000000; 11.000000
288; 5325.000000; 5.000000
289; 5349.000000; 4.000000
290; 5356.000000; 3.000000
291; 5409.000000; 3.000000
292; 5413.000000; 5.000000
293; 5448.000000; 5.000000
294; 5456.000000; 3.000000
295; 5509.000000; 3.000000
296; 5515.000000; 3.000000
297; 5579.000000; 4.000000
298; 5591.000000; 4.000000
299; 5596.000000; 2.000000
300; 5599.000000; 8.000000
301; 5625.000000; 1.000000
302; 5629.000000; 1.000000
303; 5642.000000; 1.000000
304; 5684.000000; 7.000000
305; 5706.000000; 2.000000
306; 5746.000000; 2.000000
307; 5832.000000; 3.000000
308; 5836.000000; 2.000000
309; 5856.000000; 1.000000
310; 5867.000000; 2.000000
311; 5946.000000; 3.000000
