noise number; onset time ms; duration ms
1; 1.000000; 1.000000
2; 1203.000000; 1.000000
3; 1208.000000; 1.000000
4; 1275.000000; 2.000000
5; 2949.000000; 3.000000
6; 3139.000000; 2.000000
7; 3531.000000; 3.000000
8; 5560.000000; 1.000000
9; 8641.000000; 2.000000
10; 8649.000000; 123.000000
11; 9526.000000; 1.000000
12; 9752.000000; 1.000000
13; 12956.000000; 2.000000
14; 13245.000000; 2.000000
15; 14554.000000; 2.000000
16; 14560.000000; 1.000000
17; 17982.000000; 1.000000
18; 17989.000000; 98.000000
19; 18423.000000; 3.000000
20; 19378.000000; 1.000000
21; 19572.000000; 1.000000
22; 22965.000000; 1.000000
23; 23233.000000; 1.000000
24; 24434.000000; 2.000000
25; 24751.000000; 1.000000
26; 24884.000000; 2.000000
27; 26195.000000; 3.000000
28; 28515.000000; 2.000000
29; 28636.000000; 1.000000
30; 28644.000000; 3.000000
31; 30483.000000; 3.000000
32; 31456.000000; 2.000000
33; 33615.000000; 1.000000
34; 35079.000000; 2.000000
35; 35181.000000; 56.000000
36; 26358.000000; 54.000000
37; 31459.000000; 83.000000
38; 35070.000000; 8.000000
39; 35082.000000; 1.000000
40; 35090.000000; 17.000000
41; 35112.000000; 3.000000
