RowNumber	TimeStamp	X_Position_Degree_Right_Eye	Y_Position_Degree_Right_Eye	Distance_From_RightEye	Validity_Right_Eye	Pupil_Diameter_RightEye	X_Position_Degree_Left_Eye	Y_Position_Degree_Left_Eye	Distance_From_LeftEye	Validity_Left_Eye	Pupil_Diameter_LeftEye	Target X	Target Y
0	0	0	0	0	4	0	2.665909	4.956220	0	0	555.000000	0.000000	0.000000
1	1	0	0	0	4	0	2.725460	4.707329	0	0	564.000000	0.000000	0.000000
2	2	0	0	0	4	0	2.713551	4.476058	0	0	580.000000	0.000000	0.000000
3	3	0	0	0	4	0	2.704618	4.481989	0	0	583.000000	0.000000	0.000000
4	4	0	0	0	4	0	2.636131	4.695473	0	0	574.000000	0.000000	0.000000
5	5	0	0	0	4	0	2.701641	4.719185	0	0	568.000000	0.000000	0.000000
6	6	0	0	0	4	0	2.787982	4.757715	0	0	563.000000	0.000000	0.000000
7	7	0	0	0	4	0	2.776074	4.312892	0	0	583.000000	0.000000	0.000000
8	8	0	0	0	4	0	2.734393	4.384100	0	0	588.000000	0.000000	0.000000
9	9	0	0	0	4	0	2.722482	4.526475	0	0	581.000000	0.000000	0.000000
10	10	0	0	0	4	0	2.752256	4.677688	0	0	575.000000	0.000000	0.000000
11	11	0	0	0	4	0	2.829660	4.612466	0	0	577.000000	0.000000	0.000000
12	12	0	0	0	4	0	2.817753	4.182310	0	0	594.000000	0.000000	0.000000
13	13	0	0	0	4	0	2.811799	4.182310	0	0	603.000000	0.000000	0.000000
14	14	0	0	0	4	0	0.981691	1.291920	0	0	627.000000	0.000000	0.000000
15	15	0	0	0	4	0	0.665436	1.244197	0	0	623.000000	0.000000	0.000000
16	16	0	0	0	4	0	0.623664	1.223318	0	0	627.000000	0.000000	0.000000
17	17	0	0	0	4	0	0.683339	0.925008	0	0	640.000000	0.000000	0.000000
18	18	0	0	0	4	0	0.692291	0.990641	0	0	643.000000	0.000000	0.000000
19	19	0	0	0	4	0	0.674388	1.217352	0	0	637.000000	0.000000	0.000000
20	20	0	0	0	4	0	0.581890	1.148746	0	0	638.000000	0.000000	0.000000
21	21	0	0	0	4	0	0.268572	0.456566	0	0	636.000000	0.000000	0.000000
22	22	0	0	0	4	0	0.256636	0.256636	0	0	646.000000	0.000000	0.000000
23	23	0	0	0	4	0	0.271556	0.152192	0	0	653.000000	0.000000	0.000000
24	24	0	0	0	4	0	0.262603	0.471486	0	0	647.000000	0.000000	0.000000
25	25	0	0	0	4	0	0.307365	0.477454	0	0	635.000000	0.000000	0.000000
26	26	0	0	0	4	0	0.304381	0.474470	0	0	642.000000	0.000000	0.000000
27	27	0	0	0	4	0	0.268572	0.253652	0	0	650.000000	0.000000	0.000000
28	28	0	0	0	4	0	0.307365	0.098477	0	0	664.000000	0.000000	0.000000
29	29	0	0	0	4	0	0.277524	0.462534	0	0	645.000000	0.000000	0.000000
30	30	0	0	0	4	0	0.271556	0.561003	0	0	642.000000	0.000000	0.000000
31	31	0	0	0	4	0	0.271556	0.492373	0	0	645.000000	-0.310681	0.316082
32	32	0	0	0	4	0	0.292444	0.256636	0	0	652.000000	-0.776702	0.790204
33	33	0	0	0	4	0	0.352126	0.137271	0	0	660.000000	-1.242723	1.264327
34	34	0	0	0	4	0	0.307365	0.331238	0	0	653.000000	-1.708743	1.738450
35	35	0	0	0	4	0	0.277524	0.375998	0	0	643.000000	-2.174764	2.212572
36	36	0	0	0	4	0	0.211874	0.471486	0	0	643.000000	-2.640785	2.686695
37	37	0	0	0	4	0	0.140255	0.465518	0	0	646.000000	-3.106806	3.160818
38	38	0	0	0	4	0	-0.719143	1.605055	0	0	647.000000	-3.572827	3.634940
39	39	0	0	0	4	0	-2.731414	4.042776	0	0	613.000000	-4.038848	4.109063
40	40	0	0	0	4	0	-3.189747	4.745860	0	0	593.000000	-4.504869	4.583186
41	41	0	0	0	4	0	-3.540662	5.364699	0	0	578.000000	-4.970890	5.057308
42	42	0	0	0	4	0	-3.888342	5.488913	0	0	575.000000	-5.436911	5.531431
43	43	0	0	0	4	0	-4.306957	5.740138	0	0	579.000000	-5.902932	6.005554
44	44	0	0	0	4	0	-4.695473	6.206525	0	0	574.000000	-6.368953	6.479676
45	45	0	0	0	4	0	-5.287780	6.701526	0	0	563.000000	-6.834973	6.953799
46	46	0	0	0	4	0	-6.883955	7.691379	0	0	560.000000	-7.300994	7.427922
47	47	0	0	0	4	0	-7.057427	7.995950	0	0	558.000000	-7.767015	7.902044
48	48	0	0	0	4	0	-7.292435	8.039842	0	0	564.000000	-8.233036	8.376167
49	49	0	0	0	4	0	-7.318857	8.101273	0	0	578.000000	-8.699058	8.850289
50	50	0	0	0	4	0	-7.538927	8.279613	0	0	577.000000	-9.165078	9.324412
51	51	0	0	0	4	0	-7.799787	8.478226	0	0	577.000000	-9.631099	9.798534
52	52	0	0	0	4	0	-8.036915	8.592044	0	0	574.000000	-9.984145	10.157719
53	53	0	0	0	4	0	-9.636444	9.616138	0	0	566.000000	-9.984145	10.157719
54	54	0	0	0	4	0	-9.790101	9.546503	0	0	574.000000	-9.984145	10.157719
55	55	0	0	0	4	0	-9.853842	9.633543	0	0	574.000000	-9.984145	10.157719
56	56	0	0	0	4	0	-9.960988	9.813283	0	0	569.000000	-9.984145	10.157719
57	57	0	0	0	4	0	-10.102774	9.903080	0	0	557.000000	-9.984145	10.157719
58	58	0	0	0	4	0	-10.189520	9.923349	0	0	546.000000	-9.984145	10.157719
59	59	0	0	0	4	0	-10.068063	9.868325	0	0	554.000000	-9.984145	10.157719
60	60	0	0	0	4	0	-10.068063	9.894392	0	0	552.000000	-9.984145	10.157719
61	61	0	0	0	4	0	-10.123019	9.926246	0	0	553.000000	-9.984145	10.157719
62	62	0	0	0	4	0	-10.183741	9.966778	0	0	549.000000	-9.984145	10.157719
63	63	0	0	0	4	0	-9.682845	10.296444	0	0	549.000000	-9.984145	10.157719
64	64	0	0	0	4	0	-9.836462	10.068063	0	0	566.000000	-9.984145	10.157719
65	65	0	0	0	4	0	-9.737932	10.050704	0	0	570.000000	-9.984145	10.157719
66	66	0	0	0	4	0	-9.839358	10.105666	0	0	569.000000	-9.984145	10.157719
67	67	0	0	0	4	0	-9.839358	10.160611	0	0	561.000000	-9.984145	10.157719
68	68	0	0	0	4	0	-9.879912	10.166392	0	0	556.000000	-9.984145	10.157719
69	69	0	0	0	4	0	-9.804589	10.073848	0	0	561.000000	-9.984145	10.157719
70	70	0	0	0	4	0	-9.717639	10.053596	0	0	554.000000	-9.984145	10.157719
71	71	0	0	0	4	0	-9.746627	10.157718	0	0	550.000000	-9.984145	10.157719
72	72	0	0	0	4	0	-9.958093	10.114343	0	0	541.000000	-9.984145	10.157719
73	73	0	0	0	4	0	-10.070955	10.140370	0	0	541.000000	-9.984145	10.157719
74	74	0	0	0	4	0	-9.995723	10.036237	0	0	547.000000	-9.984145	10.157719
75	75	0	0	0	4	0	-9.856738	10.039130	0	0	556.000000	-9.984145	10.157719
76	76	0	0	0	4	0	-9.905975	10.059383	0	0	553.000000	-9.984145	10.157719
77	77	0	0	0	4	0	-10.007298	10.154827	0	0	543.000000	-9.984145	10.157719
78	78	0	0	0	4	0	-9.981251	10.183740	0	0	536.000000	-9.984145	10.157719
79	79	0	0	0	4	0	-9.920454	10.099881	0	0	544.000000	-9.984145	10.157719
80	80	0	0	0	4	0	-9.764019	10.018874	0	0	554.000000	-9.984145	10.157719
81	81	0	0	0	4	0	-9.781408	10.044918	0	0	551.000000	-9.984145	10.157719
82	82	0	0	0	4	0	-9.894393	10.123019	0	0	551.000000	-9.984145	10.157719
83	83	0	0	0	4	0	-9.894393	10.125912	0	0	548.000000	-9.473405	9.638100
84	84	0	0	0	4	0	-9.865431	10.059383	0	0	555.000000	-8.929714	9.084956
85	85	0	0	0	4	0	-9.665446	9.923349	0	0	570.000000	-8.386023	8.531814
86	86	0	0	0	4	0	-9.662547	9.955198	0	0	569.000000	-7.842332	7.978670
87	87	0	0	0	4	0	-9.662547	9.969672	0	0	570.000000	-7.298641	7.425527
88	88	0	0	0	4	0	-9.633543	9.952303	0	0	572.000000	-6.754950	6.872384
89	89	0	0	0	4	0	-9.523284	9.790101	0	0	579.000000	-6.211258	6.319241
90	90	0	0	0	4	0	-6.415841	7.893499	0	0	605.000000	-5.667568	5.766098
91	91	0	0	0	4	0	-5.802171	7.911067	0	0	600.000000	-5.123877	5.212955
92	92	0	0	0	4	0	-5.633764	7.706031	0	0	604.000000	-4.580185	4.659811
93	93	0	0	0	4	0	-5.332159	7.424519	0	0	596.000000	-4.036494	4.106668
94	94	0	0	0	4	0	-4.944371	6.933952	0	0	611.000000	-3.492803	3.553525
95	95	0	0	0	4	0	-1.581201	2.305506	0	0	712.000000	-2.949112	3.000382
96	96	0	0	0	4	0	-1.059254	1.599092	0	0	709.000000	-2.405421	2.447239
97	97	0	0	0	4	0	-0.725111	1.274025	0	0	705.000000	-1.861730	1.894096
98	98	0	0	0	4	0	-0.390918	0.814619	0	0	711.000000	-1.318039	1.340953
99	99	0	0	0	4	0	0.089525	0.253652	0	0	724.000000	-0.774348	0.787810
100	100	0	0	0	4	0	0.471486	0.080573	0	0	726.000000	-0.230657	0.234667
101	101	0	0	0	4	0	0.856389	-0.002984	0	0	711.000000	0.000000	0.000000
102	102	0	0	0	4	0	1.282972	-0.313333	0	0	705.000000	0.000000	0.000000
103	103	0	0	0	4	0	1.661709	-0.790751	0	0	704.000000	0.000000	0.000000
104	104	0	0	0	4	0	1.888286	-1.187523	0	0	711.000000	0.000000	0.000000
105	105	0	0	0	4	0	2.999317	-3.772480	0	0	709.000000	0.000000	0.000000
106	106	0	0	0	4	0	2.951699	-3.852695	0	0	680.000000	0.000000	0.000000
107	107	0	0	0	4	0	1.786929	-2.829660	0	0	686.000000	0.000000	0.000000
108	108	0	0	0	4	0	0.238731	-0.367046	0	0	685.000000	0.000000	0.000000
109	109	0	0	0	4	0	0.116382	-0.722128	0	0	698.000000	0.000000	0.000000
110	110	0	0	0	4	0	0.134287	-0.814619	0	0	694.000000	0.000000	0.000000
111	111	0	0	0	4	0	0.107430	-0.525197	0	0	678.000000	0.000000	0.000000
112	112	0	0	0	4	0	0.077588	-0.552052	0	0	671.000000	0.000000	0.000000
113	113	0	0	0	4	0	-0.035810	0.053714	0	0	676.000000	0.000000	0.000000
114	114	0	0	0	4	0	-0.059683	-0.185017	0	0	693.000000	0.000000	0.000000
115	115	0	0	0	4	0	-0.014921	-0.068635	0	0	692.000000	0.000000	0.000000
116	116	0	0	0	4	0	0.000000	0.038794	0	0	686.000000	0.000000	0.000000
