noise number; onset time ms; duration ms
1; 1.000000; 1.000000
2; 330.000000; 1.000000
3; 1383.000000; 1.000000
4; 1598.000000; 1.000000
5; 1773.000000; 3.000000
6; 1850.000000; 2.000000
7; 2009.000000; 1.000000
8; 3082.000000; 1.000000
9; 4542.000000; 1.000000
10; 4632.000000; 1.000000
11; 4714.000000; 1.000000
12; 4891.000000; 1.000000
13; 5560.000000; 4.000000
14; 6564.000000; 1.000000
15; 7021.000000; 2.000000
16; 8433.000000; 1.000000
17; 8641.000000; 2.000000
18; 8649.000000; 123.000000
19; 9752.000000; 3.000000
20; 10545.000000; 3.000000
21; 10662.000000; 1.000000
22; 10666.000000; 1.000000
23; 11594.000000; 4.000000
24; 11809.000000; 1.000000
25; 12031.000000; 1.000000
26; 12035.000000; 2.000000
27; 14569.000000; 1.000000
28; 15333.000000; 1.000000
29; 16378.000000; 1.000000
30; 16407.000000; 1.000000
31; 17588.000000; 1.000000
32; 17671.000000; 1.000000
33; 17982.000000; 1.000000
34; 17989.000000; 98.000000
35; 19577.000000; 2.000000
36; 19606.000000; 1.000000
37; 19618.000000; 1.000000
38; 19642.000000; 1.000000
39; 19653.000000; 1.000000
40; 19688.000000; 2.000000
41; 19712.000000; 1.000000
42; 19735.000000; 2.000000
43; 19747.000000; 1.000000
44; 19759.000000; 1.000000
45; 19799.000000; 2.000000
46; 19812.000000; 1.000000
47; 19859.000000; 1.000000
48; 19892.000000; 2.000000
49; 20247.000000; 1.000000
50; 20251.000000; 1.000000
51; 20281.000000; 2.000000
52; 21541.000000; 2.000000
53; 22016.000000; 2.000000
54; 22131.000000; 1.000000
55; 22140.000000; 2.000000
56; 22153.000000; 1.000000
57; 22329.000000; 1.000000
58; 22964.000000; 2.000000
59; 22971.000000; 2.000000
60; 22984.000000; 1.000000
61; 22988.000000; 1.000000
62; 23000.000000; 1.000000
63; 23012.000000; 1.000000
64; 23024.000000; 1.000000
65; 23047.000000; 1.000000
66; 23105.000000; 1.000000
67; 23112.000000; 1.000000
68; 23231.000000; 4.000000
69; 23292.000000; 1.000000
70; 23608.000000; 3.000000
71; 24093.000000; 1.000000
72; 24304.000000; 1.000000
73; 26142.000000; 1.000000
74; 26160.000000; 2.000000
75; 26195.000000; 3.000000
76; 26234.000000; 1.000000
77; 26312.000000; 2.000000
78; 26681.000000; 1.000000
79; 28903.000000; 3.000000
80; 28927.000000; 1.000000
81; 28933.000000; 1.000000
82; 29501.000000; 1.000000
83; 30494.000000; 2.000000
84; 30613.000000; 1.000000
85; 30617.000000; 3.000000
86; 31463.000000; 4.000000
87; 31538.000000; 3.000000
88; 31729.000000; 1.000000
89; 31789.000000; 1.000000
90; 31799.000000; 2.000000
91; 31812.000000; 1.000000
92; 32000.000000; 1.000000
93; 32498.000000; 1.000000
94; 32634.000000; 2.000000
95; 32657.000000; 1.000000
96; 32927.000000; 2.000000
97; 33411.000000; 2.000000
98; 35092.000000; 2.000000
99; 35181.000000; 56.000000
100; 1853.000000; 2.000000
101; 14346.000000; 1.000000
102; 26344.000000; 68.000000
103; 28640.000000; 2.000000
104; 31461.000000; 1.000000
105; 31468.000000; 2.000000
106; 35071.000000; 5.000000
107; 35090.000000; 1.000000
108; 35095.000000; 11.000000
109; 35112.000000; 3.000000
