IVT_Treshold     Directory     FQnS     FQlS     SQnS      AFD      ANF      ASA      ANS
5 Input_h32s NaN NaN NaN NaN NaN NaN NaN
10 Input_h32s NaN NaN NaN NaN NaN NaN NaN
15 Input_h32s NaN NaN NaN NaN NaN NaN NaN
20 Input_h32s NaN NaN NaN NaN NaN NaN NaN
25 Input_h32s NaN NaN NaN NaN NaN NaN NaN
30 Input_h32s NaN NaN NaN NaN NaN NaN NaN
35 Input_h32s NaN NaN NaN NaN NaN NaN NaN
40 Input_h32s NaN NaN NaN NaN NaN NaN NaN
45 Input_h32s NaN NaN NaN NaN NaN NaN NaN
50 Input_h32s NaN NaN NaN NaN NaN NaN NaN
55 Input_h32s NaN NaN NaN NaN NaN NaN NaN
60 Input_h32s NaN NaN NaN NaN NaN NaN NaN
65 Input_h32s NaN NaN NaN NaN NaN NaN NaN
70 Input_h32s NaN NaN NaN NaN NaN NaN NaN
75 Input_h32s NaN NaN NaN NaN NaN NaN NaN
80 Input_h32s NaN NaN NaN NaN NaN NaN NaN
85 Input_h32s NaN NaN NaN NaN NaN NaN NaN
90 Input_h32s NaN NaN NaN NaN NaN NaN NaN
95 Input_h32s NaN NaN NaN NaN NaN NaN NaN
100 Input_h32s NaN NaN NaN NaN NaN NaN NaN
