RowNumber	TimeStamp	X_Position_Degree_Right_Eye	Y_Position_Degree_Right_Eye	Distance_From_RightEye	Validity_Right_Eye	Pupil_Diameter_RightEye	X_Position_Degree_Left_Eye	Y_Position_Degree_Left_Eye	Distance_From_LeftEye	Validity_Left_Eye	Pupil_Diameter_LeftEye	Target X	Target Y
0	0	0	0	0	4	0	2.841568	5.323283	0	0	460.000000	0.000000	0.000000
1	1	0	0	0	4	0	3.243292	5.012490	0	0	508.000000	0.000000	0.000000
2	2	0	0	0	4	0	3.427683	3.909135	0	0	560.000000	0.000000	0.000000
3	3	0	0	0	4	0	2.832637	5.341034	0	0	454.000000	0.000000	0.000000
4	4	0	0	0	4	0	3.284935	4.745860	0	0	518.000000	0.000000	0.000000
5	5	0	0	0	4	0	3.154046	4.446396	0	0	497.000000	0.000000	0.000000
6	6	0	0	0	4	0	3.040980	5.148685	0	0	468.000000	0.000000	0.000000
7	7	0	0	0	4	0	3.368210	4.588747	0	0	530.000000	0.000000	0.000000
8	8	0	0	0	4	0	2.978485	4.787350	0	0	470.000000	0.000000	0.000000
9	9	0	0	0	4	0	3.145121	5.113162	0	0	474.000000	0.000000	0.000000
10	10	0	0	0	4	0	3.371184	4.393000	0	0	545.000000	0.000000	0.000000
11	11	0	0	0	4	0	2.865382	5.104280	0	0	448.000000	0.000000	0.000000
12	12	0	0	0	4	0	3.174872	5.024335	0	0	486.000000	0.000000	0.000000
13	13	0	0	0	4	0	3.195697	3.600114	0	0	552.000000	0.000000	0.000000
14	14	0	0	0	4	0	-0.823569	1.906172	0	0	480.000000	0.000000	0.000000
15	15	0	0	0	4	0	-0.253652	1.348589	0	0	502.000000	0.000000	0.000000
16	16	0	0	0	4	0	-0.008952	0.307365	0	0	555.000000	0.000000	0.000000
17	17	0	0	0	4	0	-0.549068	1.327711	0	0	484.000000	0.000000	0.000000
18	18	0	0	0	4	0	-0.155176	1.112949	0	0	525.000000	0.000000	0.000000
19	19	0	0	0	4	0	-0.190986	0.453582	0	0	540.000000	0.000000	0.000000
20	20	0	0	0	4	0	-0.528181	1.429114	0	0	497.000000	0.000000	0.000000
21	21	0	0	0	4	0	-0.089525	0.850422	0	0	548.000000	0.000000	0.000000
22	22	0	0	0	4	0	-0.346157	0.880257	0	0	524.000000	0.000000	0.000000
23	23	0	0	0	4	0	-0.531164	1.491740	0	0	522.000000	0.000000	0.000000
24	24	0	0	0	4	0	-0.008952	0.572939	0	0	572.000000	0.000000	0.000000
25	25	0	0	0	4	0	-0.444631	1.187523	0	0	520.000000	0.000000	0.000000
26	26	0	0	0	4	0	-0.396886	1.455954	0	0	543.000000	0.000000	0.000000
27	27	0	0	0	4	0	-0.083556	0.611729	0	0	605.000000	0.000000	0.000000
28	28	0	0	0	4	0	-0.743014	1.700469	0	0	530.000000	0.000000	0.000000
29	29	0	0	0	4	0	-0.420758	1.476830	0	0	565.000000	0.000000	0.000000
30	30	0	0	0	4	0	-0.137270	0.638583	0	0	599.000000	0.000000	0.000000
31	31	0	0	0	4	0	-0.677372	1.590146	0	0	549.000000	0.000000	0.000000
32	32	0	0	0	4	0	-0.286476	1.148746	0	0	592.000000	0.000000	0.000000
33	33	0	0	0	4	0	-0.361077	0.775833	0	0	587.000000	0.000000	0.000000
34	34	0	0	0	4	0	-0.608746	1.563309	0	0	538.000000	0.000000	0.000000
35	35	0	0	0	4	0	-0.149207	0.877273	0	0	599.000000	0.000000	0.000000
36	36	0	0	0	4	0	-0.674387	1.417185	0	0	532.000000	0.000000	0.000000
37	37	0	0	0	4	0	-0.647534	1.718358	0	0	526.000000	0.000000	0.000000
38	38	0	0	0	4	0	-0.017904	0.784783	0	0	583.000000	0.000000	0.000000
39	39	0	0	0	4	0	-0.745997	1.789911	0	0	495.000000	0.000000	0.000000
40	40	0	0	0	4	0	-0.492373	1.736247	0	0	514.000000	0.000000	0.000000
41	41	0	0	0	4	0	-0.101462	0.623664	0	0	563.000000	0.000000	0.000000
42	42	0	0	0	4	0	-0.635599	1.721340	0	0	502.000000	0.000000	0.000000
43	43	0	0	0	4	0	-0.301396	1.423150	0	0	528.000000	0.000000	0.000000
44	44	0	0	0	4	0	-0.250668	0.805669	0	0	534.000000	0.000000	0.000000
45	45	0	0	0	4	0	-0.719143	1.927037	0	0	482.000000	0.000000	0.000000
46	46	0	0	0	4	0	-0.125335	1.074170	0	0	540.000000	0.000000	0.000000
47	47	0	0	0	4	0	-0.477454	1.160677	0	0	519.000000	0.000000	0.000000
48	48	0	0	0	4	0	-0.555035	1.870401	0	0	483.000000	0.000000	0.000000
49	49	0	0	0	4	0	-0.023873	0.781801	0	0	552.000000	0.000000	0.000000
50	50	0	0	0	4	0	-0.671404	1.688543	0	0	478.000000	0.000000	0.000000
51	51	0	0	0	4	0	-0.507293	1.766061	0	0	493.000000	0.000000	0.000000
52	52	0	0	0	4	0	-0.050731	0.626648	0	0	548.000000	0.000000	0.000000
53	53	0	0	0	4	0	-0.626648	1.751154	0	0	476.000000	0.000000	0.000000
54	54	0	0	0	4	0	-0.370031	1.590146	0	0	510.000000	0.000000	0.000000
55	55	0	0	0	4	0	-0.158159	0.710192	0	0	528.000000	0.000000	0.000000
