RowNumber	TimeStamp	X_Position_Degree_Right_Eye	Y_Position_Degree_Right_Eye	Distance_From_RightEye	Validity_Right_Eye	Pupil_Diameter_RightEye	X_Position_Degree_Left_Eye	Y_Position_Degree_Left_Eye	Distance_From_LeftEye	Validity_Left_Eye	Pupil_Diameter_LeftEye	Target X	Target Y
73278822	73278822	0	0	0	4	0	4.944372	8.092499	0	0	1299.000000	0.000000	0.000000
73278823	73278823	0	0	0	4	0	5.042102	8.186077	0	0	1299.000000	0.000000	0.000000
73278824	73278824	0	0	0	4	0	4.971028	8.189001	0	0	1303.000000	0.000000	0.000000
73278825	73278825	0	0	0	4	0	4.879201	8.177306	0	0	1308.000000	0.000000	0.000000
73278826	73278826	0	0	0	4	0	4.692509	8.083723	0	0	1331.000000	0.000000	0.000000
73278827	73278827	0	0	0	4	0	4.597642	7.940341	0	0	1346.000000	0.000000	0.000000
73278828	73278828	0	0	0	4	0	4.496819	7.758774	0	0	1358.000000	0.000000	0.000000
73278829	73278829	0	0	0	4	0	4.493853	7.656208	0	0	1352.000000	0.000000	0.000000
73278830	73278830	0	0	0	4	0	4.547235	7.685517	0	0	1338.000000	0.000000	0.000000
73278831	73278831	0	0	0	4	0	4.763642	7.832006	0	0	1310.000000	0.000000	0.000000
73278832	73278832	0	0	0	4	0	4.976952	7.978391	0	0	1282.000000	0.000000	0.000000
73278833	73278833	0	0	0	4	0	5.086516	8.066172	0	0	1270.000000	0.000000	0.000000
73278834	73278834	0	0	0	4	0	5.042102	8.072022	0	0	1283.000000	0.000000	0.000000
73278835	73278835	0	0	0	4	0	4.994721	8.080798	0	0	1298.000000	0.000000	0.000000
73278836	73278836	0	0	0	4	0	4.959182	8.063246	0	0	1307.000000	0.000000	0.000000
73278837	73278837	0	0	0	4	0	4.896976	8.013508	0	0	1317.000000	0.000000	0.000000
73278838	73278838	0	0	0	4	0	4.710294	7.878860	0	0	1344.000000	0.000000	0.000000
73278839	73278839	0	0	0	4	0	4.553164	7.738265	0	0	1371.000000	0.000000	0.000000
73278840	73278840	0	0	0	4	0	4.431564	7.623961	0	0	1387.000000	0.000000	0.000000
73278841	73278841	0	0	0	4	0	4.443430	7.565320	0	0	1371.000000	0.000000	0.000000
73278842	73278842	0	0	0	4	0	4.559095	7.585847	0	0	1340.000000	0.000000	0.000000
73278843	73278843	0	0	0	4	0	4.734005	7.656208	0	0	1310.000000	0.000000	0.000000
73278844	73278844	0	0	0	4	0	4.923637	7.802715	0	0	1292.000000	0.000000	0.000000
73278845	73278845	0	0	0	4	0	5.006568	7.908139	0	0	1294.000000	0.000000	0.000000
73278846	73278846	0	0	0	4	0	5.045064	7.984243	0	0	1297.000000	0.000000	0.000000
73278847	73278847	0	0	0	4	0	5.053946	8.001803	0	0	1299.000000	0.000000	0.000000
73278848	73278848	0	0	0	4	0	5.003606	7.969611	0	0	1306.000000	0.000000	0.000000
73278849	73278849	0	0	0	4	0	4.926599	7.913993	0	0	1320.000000	0.000000	0.000000
73278850	73278850	0	0	0	4	0	4.728077	7.788069	0	0	1345.000000	0.000000	0.000000
73278851	73278851	0	0	0	4	0	4.606537	7.653276	0	0	1362.000000	0.000000	0.000000
73278852	73278852	0	0	0	4	0	4.496819	7.535995	0	0	1373.000000	0.000000	0.000000
73278853	73278853	0	0	0	4	0	4.502750	7.500799	0	0	1360.000000	0.000000	0.000000
73278854	73278854	0	0	0	4	0	4.606537	7.568254	0	0	1340.000000	0.000000	0.000000
73278855	73278855	0	0	0	4	0	4.751787	7.665000	0	0	1313.000000	0.000000	0.000000
73278856	73278856	0	0	0	4	0	4.923637	7.761704	0	0	1299.000000	0.000000	0.000000
73278857	73278857	0	0	0	4	0	4.979913	7.796857	0	0	1293.000000	0.000000	0.000000
73278858	73278858	0	0	0	4	0	4.976952	7.832006	0	0	1295.000000	0.000000	0.000000
73278859	73278859	0	0	0	4	0	4.947334	7.870075	0	0	1303.000000	0.000000	0.000000
73278860	73278860	0	0	0	4	0	4.899939	7.893499	0	0	1316.000000	0.000000	0.000000
73278861	73278861	0	0	0	4	0	4.825871	7.855434	0	0	1335.000000	0.000000	0.000000
73278862	73278862	0	0	0	4	0	4.648043	7.706031	0	0	1363.000000	0.000000	0.000000
73278863	73278863	0	0	0	4	0	4.520544	7.535995	0	0	1386.000000	0.000000	0.000000
73278864	73278864	0	0	0	4	0	4.428598	7.401043	0	0	1382.000000	0.000000	0.000000
73278865	73278865	0	0	0	4	0	4.517579	7.415716	0	0	1342.000000	0.000000	0.000000
73278866	73278866	0	0	0	4	0	4.665830	7.512530	0	0	1302.000000	0.000000	0.000000
73278867	73278867	0	0	0	4	0	4.808093	7.641551	0	0	1280.000000	0.000000	0.000000
73278868	73278868	0	0	0	4	0	4.923637	7.755844	0	0	1279.000000	0.000000	0.000000
73278869	73278869	0	0	0	4	0	4.959182	7.837863	0	0	1282.000000	0.000000	0.000000
73278870	73278870	0	0	0	4	0	4.997683	7.884717	0	0	1287.000000	0.000000	0.000000
73278871	73278871	0	0	0	4	0	4.950295	7.893499	0	0	1293.000000	0.000000	0.000000
73278872	73278872	0	0	0	4	0	4.891051	7.887644	0	0	1309.000000	0.000000	0.000000
73278873	73278873	0	0	0	4	0	4.772532	7.805645	0	0	1335.000000	0.000000	0.000000
73278874	73278874	0	0	0	4	0	4.627291	7.673793	0	0	1355.000000	0.000000	0.000000
73278875	73278875	0	0	0	4	0	4.514613	7.530129	0	0	1357.000000	0.000000	0.000000
73278876	73278876	0	0	0	4	0	4.502750	7.433322	0	0	1344.000000	0.000000	0.000000
73278877	73278877	0	0	0	4	0	4.630255	7.430387	0	0	1319.000000	0.000000	0.000000
73278878	73278878	0	0	0	4	0	4.858463	7.547725	0	0	1298.000000	0.000000	0.000000
73278879	73278879	0	0	0	4	0	5.036180	7.685517	0	0	1285.000000	0.000000	0.000000
73278880	73278880	0	0	0	4	0	5.116122	7.811503	0	0	1288.000000	0.000000	0.000000
73278881	73278881	0	0	0	4	0	5.092437	7.867147	0	0	1290.000000	0.000000	0.000000
73278882	73278882	0	0	0	4	0	5.080595	7.925704	0	0	1291.000000	0.000000	0.000000
73278883	73278883	0	0	0	4	0	5.018413	7.916921	0	0	1300.000000	0.000000	0.000000
73278884	73278884	0	0	0	4	0	4.950295	7.884717	0	0	1311.000000	0.000000	0.000000
73278885	73278885	0	0	0	4	0	4.799203	7.808574	0	0	1339.000000	0.000000	0.000000
73278886	73278886	0	0	0	4	0	4.695473	7.667932	0	0	1362.000000	0.000000	0.000000
73278887	73278887	0	0	0	4	0	4.600607	7.512530	0	0	1368.000000	0.000000	0.000000
73278888	73278888	0	0	0	4	0	4.600607	7.377565	0	0	1345.000000	0.000000	0.000000
73278889	73278889	0	0	0	4	0	4.698437	7.380499	0	0	1313.000000	0.000000	0.000000
73278890	73278890	0	0	0	4	0	4.796240	7.471463	0	0	1295.000000	0.000000	0.000000
73278891	73278891	0	0	0	4	0	4.932524	7.609303	0	0	1288.000000	0.000000	0.000000
73278892	73278892	0	0	0	4	0	4.985837	7.723614	0	0	1291.000000	0.000000	0.000000
73278893	73278893	0	0	0	4	0	5.027297	7.767563	0	0	1296.000000	0.000000	0.000000
73278894	73278894	0	0	0	4	0	5.024335	7.788069	0	0	1303.000000	0.000000	0.000000
73278895	73278895	0	0	0	4	0	4.971028	7.808574	0	0	1314.000000	0.000000	0.000000
73278896	73278896	0	0	0	4	0	4.885127	7.808574	0	0	1330.000000	0.000000	0.000000
73278897	73278897	0	0	0	4	0	4.695473	7.711892	0	0	1352.000000	0.000000	0.000000
73278898	73278898	0	0	0	4	0	4.559095	7.544793	0	0	1367.000000	0.000000	0.000000
73278899	73278899	0	0	0	4	0	4.449362	7.386369	0	0	1367.000000	0.000000	0.000000
73278900	73278900	0	0	0	4	0	4.458261	7.321794	0	0	1345.000000	0.000000	0.000000
73278901	73278901	0	0	0	4	0	4.567991	7.365825	0	0	1323.000000	0.000000	0.000000
73278902	73278902	0	0	0	4	0	4.725113	7.439190	0	0	1310.000000	0.000000	0.000000
73278903	73278903	0	0	0	4	0	4.849575	7.553591	0	0	1307.000000	0.000000	0.000000
73278904	73278904	0	0	0	4	0	4.929562	7.647414	0	0	1303.000000	0.000000	0.000000
73278905	73278905	0	0	0	4	0	4.956220	7.720684	0	0	1301.000000	0.000000	0.000000
73278906	73278906	0	0	0	4	0	4.973990	7.735334	0	0	1308.000000	0.000000	0.000000
73278907	73278907	0	0	0	4	0	4.938447	7.720684	0	0	1318.000000	0.000000	0.000000
73278908	73278908	0	0	0	4	0	4.852537	7.662069	0	0	1332.000000	0.000000	0.000000
73278909	73278909	0	0	0	4	0	4.668794	7.544793	0	0	1358.000000	0.000000	0.000000
73278910	73278910	0	0	0	4	0	4.499784	7.401043	0	0	1383.000000	0.000000	0.000000
73278911	73278911	0	0	0	4	0	4.387066	7.295371	0	0	1388.000000	0.000000	0.000000
73278912	73278912	0	0	0	4	0	4.419699	7.266008	0	0	1363.000000	0.000000	0.000000
73278913	73278913	0	0	0	4	0	4.570956	7.333536	0	0	1324.000000	0.000000	0.000000
73278914	73278914	0	0	0	4	0	4.799203	7.503730	0	0	1298.000000	0.000000	0.000000
73278915	73278915	0	0	0	4	0	5.012490	7.676724	0	0	1284.000000	0.000000	0.000000
73278916	73278916	0	0	0	4	0	5.080595	7.776351	0	0	1289.000000	0.000000	0.000000
73278917	73278917	0	0	0	4	0	5.056908	7.761704	0	0	1294.000000	0.000000	0.000000
73278918	73278918	0	0	0	4	0	4.968067	7.744124	0	0	1307.000000	0.000000	0.000000
73278919	73278919	0	0	0	4	0	4.894014	7.735334	0	0	1314.000000	0.000000	0.000000
73278920	73278920	0	0	0	4	0	4.736969	7.685517	0	0	1338.000000	0.000000	0.000000
73278921	73278921	0	0	0	4	0	4.612466	7.568254	0	0	1354.000000	0.000000	0.000000
73278922	73278922	0	0	0	4	0	4.487921	7.453860	0	0	1368.000000	0.000000	0.000000
