RowNumber	TimeStamp	X_Position_Degree_Right_Eye	Y_Position_Degree_Right_Eye	Distance_From_RightEye	Validity_Right_Eye	Pupil_Diameter_RightEye	X_Position_Degree_Left_Eye	Y_Position_Degree_Left_Eye	Distance_From_LeftEye	Validity_Left_Eye	Pupil_Diameter_LeftEye	Target X	Target Y
0	0	0	0	0	4	0	-0.176065	-0.155176	0	0	1545.000000	0.000000	0.000000
1	16	0	0	0	4	0	-0.170097	-0.107430	0	0	1527.000000	0.000000	0.000000
2	32	0	0	0	4	0	-0.196953	-0.211874	0	0	1554.000000	0.000000	0.000000
3	48	0	0	0	4	0	-0.071620	-0.298413	0	0	1552.000000	0.000000	0.000000
4	64	0	0	0	4	0	-0.134287	-0.220826	0	0	1546.000000	0.000000	0.000000
5	80	0	0	0	4	0	-0.205907	-0.146223	0	0	1538.000000	0.000000	0.000000
6	96	0	0	0	4	0	-0.122349	-0.179049	0	0	1546.000000	0.000000	0.000000
7	112	0	0	0	4	0	-0.119366	-0.095493	0	0	1540.000000	0.000000	0.000000
8	128	0	0	0	4	0	-0.241714	-0.289461	0	0	1538.000000	0.000000	0.000000
9	144	0	0	0	4	0	-0.179049	-0.089525	0	0	1543.000000	0.000000	0.000000
10	160	0	0	0	4	0	-0.062667	-0.196954	0	0	1538.000000	0.000000	0.000000
11	176	0	0	0	4	0	-0.199938	-0.256636	0	0	1525.000000	0.000000	0.000000
12	192	0	0	0	4	0	-0.164128	-0.262603	0	0	1510.000000	0.000000	0.000000
13	208	0	0	0	4	0	-0.116383	-0.268572	0	0	1539.000000	0.000000	0.000000
14	224	0	0	0	4	0	-0.211873	-0.298413	0	0	1546.000000	0.000000	0.000000
15	240	0	0	0	4	0	-0.223811	-0.337205	0	0	1521.000000	0.000000	0.000000
16	256	0	0	0	4	0	-0.241714	-0.337205	0	0	1529.000000	0.000000	0.000000
17	272	0	0	0	4	0	-0.098477	-0.316317	0	0	1529.000000	0.000000	0.000000
18	288	0	0	0	4	0	-0.125335	-0.346158	0	0	1527.000000	0.000000	0.000000
19	304	0	0	0	4	0	-0.211873	-0.301397	0	0	1531.000000	0.000000	0.000000
20	320	0	0	0	4	0	-0.253652	-0.352126	0	0	1529.000000	0.000000	0.000000
21	336	0	0	0	4	0	-0.193969	-0.313333	0	0	1526.000000	0.000000	0.000000
22	352	0	0	0	4	0	-0.226794	-0.211874	0	0	1534.000000	0.000000	0.000000
23	368	0	0	0	4	0	-0.226794	-0.355110	0	0	1532.000000	0.000000	0.000000
24	384	0	0	0	4	0	-0.280509	-0.334222	0	0	1537.000000	0.000000	0.000000
25	400	0	0	0	4	0	-0.188001	-0.331238	0	0	1539.000000	0.000000	0.000000
26	416	0	0	0	4	0	-0.241714	-0.378983	0	0	1537.000000	0.000000	0.000000
27	432	0	0	0	4	0	-0.170097	-0.316317	0	0	1539.000000	0.000000	0.000000
28	448	0	0	0	4	0	-0.155176	-0.387934	0	0	1539.000000	0.000000	0.000000
