noise number; onset time ms; duration ms
1; 1.000000; 1.000000
2; 1570.000000; 2.000000
3; 8641.000000; 2.000000
4; 8646.000000; 2.000000
5; 8649.000000; 123.000000
6; 11801.000000; 1.000000
7; 12952.000000; 1.000000
8; 13242.000000; 1.000000
9; 13388.000000; 1.000000
10; 17982.000000; 1.000000
11; 17989.000000; 98.000000
12; 18103.000000; 1.000000
13; 19373.000000; 1.000000
14; 19783.000000; 2.000000
15; 23225.000000; 1.000000
16; 23227.000000; 1.000000
17; 26125.000000; 2.000000
18; 28644.000000; 3.000000
19; 29490.000000; 1.000000
20; 29650.000000; 2.000000
21; 30485.000000; 1.000000
22; 31449.000000; 1.000000
23; 35080.000000; 1.000000
24; 35181.000000; 56.000000
25; 1857.000000; 1.000000
26; 26390.000000; 23.000000
27; 29488.000000; 1.000000
28; 31456.000000; 1.000000
29; 31458.000000; 86.000000
